Year,Country,Elo,CONF,PopulationOLD,X4yrAgoGDP,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC,Population,GDP,GDPPER,X25EloProj,2025 ELO
2017,Brazil,2114,CONMEBOL,215986401,2.44E+12,11301,1,0,222898892,2.87293E+12,12889,1899.128462,1899
2017,Turkey,1712,UEFA,85910315,1.06E+12,12301,1,0,91406036,1.30069E+12,14230,1857.328109,1857
2017,Argentina,1984,CONMEBOL,46015341,7.66E+11,16641,1,0,47828368,9.14275E+11,19116,1848.487049,1848
2017,France,1989,UEFA,68166269,2.94E+12,43163,1,0,69230242,3.34575E+12,48328,1845.333794,1845
2017,England,1933,UEFA,67762754,3.02E+12,44542,1,0,69549118,3.46722E+12,49853,1842.238269,1842
2017,Russian Federation,1698,UEFA,145107576,1.83E+12,12603,1,0,145722705,2.1043E+12,14440,1841.643891,1842
2017,Italy,1906,UEFA,60248232,2.17E+12,35996,1,0,59946566,2.42569E+12,40464,1831.167523,1831
2017,Spain,2031,UEFA,46925896,1.50E+12,31865,1,0,47282452,1.70069E+12,35969,1824.355791,1824
2017,Germany,2109,UEFA,84097918,4.18E+12,49665,1,0,85524636,4.73592E+12,55375,1810.096937,1810
2017,Poland,1843,UEFA,37998867,6.08E+11,16001,1,0,38021907,7.00668E+11,18428,1791.96385,1792
2017,Colombia,1927,CONMEBOL,50756863,3.89E+11,7664,1,0,52506406,4.81453E+11,9169,1782.395938,1782
2017,Netherlands,1896,UEFA,17550493,9.53E+11,54315,1,0,17978312,1.09821E+12,61085,1773.449236,1773
2017,Peru,1882,CONMEBOL,33791125,2.70E+11,7981,1,0,35498925,3.38741E+11,9542,1755.051326,1755
2017,Mexico,1848,CONCACAF,135907460,1.42E+12,10426,1,0,143003787,1.72758E+12,12081,1750.052358,1750
2017,Chile,1860,CONMEBOL,18648875,3.31E+11,17752,1,0,19262576,3.93444E+11,20425,1737.386799,1737
2017,Ecuador,1747,CONMEBOL,17627104,1.34E+11,7583,1,0,18689771,1.70466E+11,9121,1732.061628,1732
2017,Kazakhstan,1340,UEFA,19052891,2.00E+11,10515,1,0,20125279,2.49123E+11,12379,1731.590837,1732
2017,Romania,1688,UEFA,19131459,2.43E+11,12710,1,0,18686953,2.76916E+11,14819,1727.96007,1728
2017,Sweden,1825,UEFA,10672270,6.42E+11,60180,1,0,11313095,7.6561E+11,67675,1694.729903,1695
2017,Ukraine,1738,UEFA,44145192,1.53E+11,3460,1,0,43469721,1.96537E+11,4521,1692.883673,1693
2017,Belgium,1928,UEFA,11536411,5.64E+11,48907,1,0,11703129,6.45075E+11,55120,1692.664746,1693
2017,Czech Republic,1713,UEFA,10691999,2.50E+11,23361,1,0,10793632,2.881E+11,26692,1673.481602,1673
2017,Uruguay,1867,CONMEBOL,3508295,65925354188,18791,1,0,3560609,77005067449,21627,1670.872994,1671
2017,Switzerland,1866,UEFA,8849257,7.96E+11,89977,1,0,9249846,9.33016E+11,100868,1670.70756,1671
2017,Greece,1662,UEFA,10698490,2.29E+11,21407,1,0,10636915,2.60782E+11,24517,1668.900986,1669
2017,Austria,1710,UEFA,9106711,4.86E+11,53342,1,0,9414257,5.6558E+11,60077,1660.540093,1661
2017,Israel,1535,UEFA,9418084,4.29E+11,45526,1,0,10180927,5.23022E+11,51373,1653.154219,1653
2017,Paraguay,1753,CONMEBOL,7168713,39796125898,5551,1,0,7544884,51839377306,6871,1651.387429,1651
2017,Portugal,1995,UEFA,10167947,2.46E+11,24216,1,0,10043713,2.77663E+11,27645,1645.119795,1645
2017,Hungary,1612,UEFA,9650859,1.59E+11,16525,1,0,9522326,1.81738E+11,19085,1641.930602,1642
2017,Bolivia,1707,CONMEBOL,11736716,52421743891,4466,1,0,12464304,70537256929,5659,1640.133109,1640
2017,Norway,1581,UEFA,5478331,4.65E+11,84799,1,0,5681719,5.40615E+11,95150,1639.104272,1639
2017,Belarus,1498,UEFA,9533290,67338416290,7064,1,0,9558773,81756611952,8553,1636.678173,1637
2017,Denmark,1842,UEFA,5939641,3.77E+11,63410,1,0,6114690,4.36093E+11,71319,1631.374212,1631
2017,Slovakia,1748,UEFA,5476451,1.11E+11,20300,1,0,5513256,1.28469E+11,23302,1630.776913,1631
2017,Bulgaria,1621,UEFA,6873139,66215272807,9634,1,0,6676102,76230083980,11418,1613.887095,1614
2017,South Africa,1540,CAF,59631449,4.47E+11,7500,1,0,62695487,5.62821E+11,8977,1612.056008,1612
2017,Luxembourg,1322,UEFA,675759,78885551549,116736,1,0,761783,99654369643,130817,1595.504603,1596
2017,Iran,1799,AFC,84823437,5.64E+11,6654,1,0,88649190,7.10504E+11,8015,1592.17804,1592
2017,Saudi Arabia,1575,AFC,35756849,8.48E+11,23722,1,0,38816686,1.04791E+12,26996,1591.617058,1592
2017,Serbia,1769,UEFA,6880245,49947881634,7260,1,0,6741094,59149003399,8774,1589.26783,1589
2017,Croatia,1856,UEFA,3937786,61042048520,15502,1,0,3758431,67505347446,17961,1588.272011,1588
2017,Slovenia,1639,UEFA,2073589,55961256545,26988,1,0,2080453,64009008991,30767,1584.768461,1585
2017,Guatemala,1512,CONCACAF,18319460,1.04E+11,5661,1,0,19842288,1.38559E+11,6983,1581.261793,1581
2017,Nigeria,1696,CAF,212085319,5.99E+11,2823,1,0,235638597,8.80879E+11,3738,1581.129869,1581
2017,United States,1752,CONCACAF,335172930,2.14E+13,63889,0,0,344901070,2.35972E+13,68417,1578.51032,1579
2017,Bosnia and HerzegoviNA,1723,UEFA,3468147,22410619105,6462,1,0,3429708,27057830207,7889,1576.755955,1577
2017,Haiti,1495,CONCACAF,11537028,17783665747,1541,1,0,12120958,29137666885,2404,1574.981242,1575
2017,Ethiopia,1278,CAF,115969460,1.78E+11,1532,1,0,128136851,3.03398E+11,2368,1573.874679,1574
2017,Egypt,1660,CAF,105460489,3.52E+11,3341,1,0,114008770,4.9662E+11,4356,1572.092852,1572
2017,Algeria,1539,CAF,44320524,2.33E+11,5258,1,0,47541074,3.09616E+11,6513,1571.458989,1571
2017,Tanzania,1300,CAF,64946307,1.10E+11,1694,1,0,73600094,1.88373E+11,2559,1570.498232,1570
2017,Georgia,1484,UEFA,3708316,19404396071,5233,1,0,3699552,24119641643,6520,1569.09567,1569
2017,Kenya,1397,CAF,55048277,1.30E+11,2358,1,0,60972258,2.00991E+11,3296,1567.301091,1567
2017,Angola,1242,CAF,34080945,1.81E+11,5317,1,0,38997559,2.5687E+11,6587,1566.925041,1567
2017,Morocco,1691,CAF,37665122,1.54E+11,4076,1,0,39694406,2.06722E+11,5208,1563.310316,1563
2017,Sudan,1245,CAF,44638223,1.74E+11,3902,1,0,49158827,2.4631E+11,5010,1560.571576,1561
2017,Honduras,1610,CONCACAF,9905179,34171766387,3450,1,0,10589515,47964680176,4529,1556.479528,1556
2017,Albania,1610,UEFA,2862910,16449826816,5746,1,0,2852402,20229246385,7092,1556.091716,1556
2017,Iceland,1811,UEFA,365920,28829699103,78787,1,0,392334,34728854229,88519,1555.163266,1555
2017,Cameroon,1646,CAF,26713353,61342798110,2296,1,0,29667054,96076571964,3238,1553.941849,1554
2017,Cote d'Ivoire,1604,CAF,26879024,68141311684,2535,1,0,29738192,1.04198E+11,3504,1553.197862,1553
2017,GhaNA,1617,CAF,31514359,79118876477,2511,1,0,34444323,1.19704E+11,3475,1552.297517,1552
2017,South Korea,1761,AFC,52359638,1.76E+12,33597,1,0,53268585,2.01657E+12,37857,1549.234862,1549
2017,Madagascar,1368,CAF,28506388,33884117111,1189,1,0,31778871,63839199772,2009,1549.164652,1549
2017,BurkiNA Faso,1606,CAF,21582786,30967069269,1435,1,0,24269650,55421745620,2284,1547.846951,1548
2017,Mali,1515,CAF,20939966,33631555769,1606,1,0,23648077,58500232382,2474,1547.54792,1548
2017,Uganda,1461,CAF,48939062,66458468124,1358,1,0,55876494,1.22478E+11,2192,1546.702459,1547
2017,El Salvador,1456,CONCACAF,6512470,32695152937,5020,1,0,6649928,41761422485,6280,1546.58492,1547
2017,Zambia,1501,CAF,19296817,45695585207,2368,1,0,21783334,72349365868,3321,1546.000241,1546
2017,Malawi,1305,CAF,20939720,22293204903,1065,1,0,23545775,44089706253,1873,1545.748196,1546
2017,Mozambique,1316,CAF,33333252,38353551639,1151,1,0,37450264,73618347741,1966,1545.467123,1545
2017,Cyprus,1410,UEFA,1218178,25763502165,21149,1,0,1258070,30523641156,24262,1545.067634,1545
2017,Iraq,1569,AFC,42950692,2.76E+11,6416,1,0,48198049,3.75782E+11,7797,1543.708055,1544
2017,Tunisia,1624,CAF,12065433,55189277575,4574,1,0,12623402,72951793547,5779,1543.305508,1543
2017,CaNAda,1524,CONCACAF,38548334,1.95E+12,50623,0,0,40480841,2.29957E+12,56806,1541.613075,1542
2017,Zimbabwe,1472,CAF,18159125,34320005127,1890,1,0,19948926,55663177334,2790,1536.451234,1536
2017,Senegal,1753,CAF,17763275,32645385624,1838,1,0,19906792,54397031610,2733,1535.983888,1536
2017,Moldova,1332,UEFA,3540950,11474434387,3241,1,0,3532172,15188892870,4300,1534.369132,1534
2017,Guinea,1472,CAF,14106240,22667000074,1607,1,0,15647028,38752829118,2477,1533.827237,1534
2017,Malaysia,1062,AFC,33447367,3.92E+11,11724,1,0,35375570,4.84473E+11,13695,1532.788945,1533
2017,Japan,1707,AFC,125955047,5.38E+12,42734,0,0,125129740,5.93754E+12,47451,1531.869811,1532
2017,Congo,1606,CAF,5844886,14821599727,2536,1,0,6493883,22817243716,3514,1526.624789,1527
2017,Costa Rica,1746,CONCACAF,5105650,69672582681,13646,1,0,5313675,84436967391,15891,1514.91639,1515
2017,Lithuania,1406,UEFA,2672398,51517694668,19278,0,0,2525607,55998300364,22172,1513.841324,1514
2017,Malta,1216,UEFA,507728,15601031410,30727,1,0,554035,19358990319,34942,1509.768046,1510
2017,Ireland,1732,UEFA,5055435,3.94E+11,77927,0,0,5309411,4.64575E+11,87500,1504.169681,1504
2017,Libya,1476,CAF,6712949,64423971262,9597,1,0,7069239,80429530706,11377,1503.393225,1503
2017,Finland,1595,UEFA,5575865,2.88E+11,51599,0,0,5641183,3.28126E+11,58166,1502.304075,1502
2017,Macedonia,1520,UEFA,2090998,14124783999,6755,1,0,2098866,17246909846,8217,1499.535013,1500
2017,Togo,1383,CAF,8623046,11864616741,1376,1,0,9535758,21178221831,2221,1499.451509,1499
2017,VietNAm,1271,AFC,99549468,3.25E+11,3264,1,0,103726330,4.43389E+11,4275,1497.142842,1497
2017,Gabon,1415,CAF,2219463,19390747722,8737,1,0,2432436,25360560933,10426,1493.896323,1494
2017,Liberia,1308,CAF,5241991,6273951517,1197,1,0,5807061,11743530335,2022,1493.168893,1493
2017,Indonesia,1233,AFC,275881771,1.33E+12,4811,1,0,288307716,1.68243E+12,5836,1488.781609,1489
2017,Myanmar,1093,AFC,55366383,1.18E+11,2126,1,0,57436789,1.74595E+11,3040,1486.319168,1486
2017,Qatar,1457,AFC,2940309,2.10E+11,71460,1,0,3275758,2.63111E+11,80321,1485.573031,1486
2017,Jordan,1476,AFC,10768924,56930720264,5287,1,0,11952743,78573553251,6574,1482.465555,1482
2017,Uzbekistan,1609,AFC,34656931,81707422607,2358,1,0,37085727,1.22542E+11,3304,1479.95328,1480
2017,Central African Republic,1297,CAF,4928008,5689558176,1155,1,0,5212459,10297510141,1976,1479.949194,1480
2017,Australia,1728,AFC,26227990,1.59E+12,60451,0,0,27964931,1.89666E+12,67823,1478.803763,1479
2017,Hong Kong,1190,AFC,7617124,3.97E+11,52132,1,0,7849423,4.61095E+11,58743,1475.788969,1476
2017,Kuwait,1433,AFC,4493858,1.48E+11,33044,1,0,4882056,1.83093E+11,37503,1475.184454,1475
2017,Tajikistan,1214,AFC,9716263,15358184819,1581,1,0,10582013,25914264241,2449,1473.528472,1474
2017,Bahrain,1417,AFC,1803475,48792112021,27054,1,0,2179122,67207633606,30842,1468.841449,1469
2017,Latvia,1363,UEFA,1867684,33746498890,18069,0,0,1797378,37434498933,20827,1466.496688,1466
2017,Estonia,1507,UEFA,1314241,29770748393,22652,0,0,1313003,34055643965,25937,1462.674685,1463
2017,ChiNA,1564,AFC,1417839657,1.21E+13,8537,0,0,1449997507,1.19326E+13,8229,1458.231155,1458
2017,Sierra Leone,1380,CAF,8244828,10261006292,1245,1,0,8995009,18665952839,2075,1457.032616,1457
2017,Turkmenistan,1254,AFC,6160057,54717665877,8883,1,0,6590102,69742979617,10583,1455.289235,1455
2017,Lebanon,1457,AFC,6396786,65139958446,10183,1,0,6727469,80935299191,12031,1455.051094,1455
2017,Gambia,1278,CAF,2372626,2911572265,1227,1,0,2679920,5510662725,2056,1453.946841,1454
2017,Azerbaijan,1401,UEFA,10294584,54444895230,5289,0,0,10745675,70666991677,6576,1446.602194,1447
2017,Thailand,1406,AFC,69738806,5.56E+11,7966,0,0,70447222,6.67762E+11,9479,1426.560958,1427
2017,SuriNAme,1238,CONCACAF,584090,4244553427,7267,1,0,605538,5322473321,8790,1408.819996,1409
2017,Trinidad and Tobago,1420,CONCACAF,1385930,25895053647,18684,0,0,1402941,30183135912,21514,1405.028665,1405
2017,Mauritius,1068,CAF,1269185,15794798180,12445,1,0,1273774,18546641074,14560,1398.77605,1399
2017,PaNAma,1672,CONCACAF,4369135,76457123577,17499,0,0,4657542,94011792786,20185,1395.068088,1395
2017,Fiji,1256,OFC,933084,6455854476,6919,1,0,961506,8077935763,8401,1383.16967,1383
2017,United Arab Emirates,1563,AFC,9944826,4.57E+11,45999,0,0,10521068,5.45995E+11,51895,1378.003577,1378
2017,Dominican Republic,1250,CONCACAF,11255847,96105386315,8538,0,0,11766891,1.19924E+11,10192,1375.659732,1376
2017,India,1160,AFC,1401293078,3.40E+12,2427,0,0,1466286910,4.16297E+12,2839,1375.265569,1375
2017,Nicaragua,1267,CONCACAF,6497278,20555819004,3164,0,0,6789558,28603262103,4213,1370.577183,1371
2017,New Zealand,1525,OFC,5223515,2.53E+11,48527,0,0,5691631,3.116E+11,54747,1369.061737,1369
2017,Jamaica,1565,CONCACAF,2926410,18679987689,6383,0,0,2962972,23116483019,7802,1353.976806,1354
2017,Bangladesh,806,AFC,171763528,4.02E+11,2339,0,0,179162896,5.78845E+11,3231,1310.484444,1310
2017,Philippines,1159,AFC,111613360,4.43E+11,3970,0,0,118735883,5.98712E+11,5042,1307.028485,1307
2017,Afghanistan,1149,AFC,39301491,52614714790,1339,0,0,43473224,94468310047,2173,1303.771383,1304
2017,Pakistan,946,AFC,213196997,5.04E+11,2365,0,0,230706998,7.48205E+11,3243,1303.576743,1304
2017,Nepal,900,AFC,30637649,49502553568,1616,0,0,32030902,79511597061,2482,1291.799661,1292
2017,Cambodia,810,AFC,17023438,37931019846,2228,0,0,18106260,57333629250,3167,1275.137507,1275
2017,GreNAda,1112,CONCACAF,109886,1346784623,12256,0,0,111986,1607227764,14352,1254.361227,1254
2017,Papua New Guinea,1093,OFC,8958171,31666463800,3535,0,0,9725761,44977950907,4625,1242.286399,1242
2017,Antigua and Barbuda,1204,CONCACAF,106341,1854122482,17436,0,0,110854,2231136368,20127,1232.922388,1233
2017,Barbados,1138,CONCACAF,288633,5600931701,19405,0,0,291577,6508376975,22321,1211.915594,1212
2017,Mongolia,653,AFC,3278104,15901695537,4851,0,0,3493887,21292854296,6094,1026.561417,1027
2017,Bhutan,591,AFC,848476,3525908758,4156,0,0,891410,4743663414,5322,1004.554627,1005
